T,X1,X2,X3,X4,X5,ID,REP
3.811791892,54.131299,50.70706226,21.45529942,13.78473483,11.47056282,1,2
78.24282797,28.98586847,28.23941968,13.27813529,13.00904943,15.73472437,2,2
92.67418756,23.85977733,38.00494174,13.40955896,21.11283907,12.66162197,3,2
310.2258093,20.3953607,24.91903461,11.75249307,13.84791447,16.83019913,4,2
642.9747271,25.48040648,31.91596905,17.65440353,19.43842853,16.79820135,5,2
6,54.131299,50.70706226,21.45529942,13.78473483,11.47056282,1,1
105,28.98586847,28.23941968,13.27813529,13.00904943,15.73472437,2,1
122,23.85977733,38.00494174,13.40955896,21.11283907,12.66162197,3,1
433,20.3953607,24.91903461,11.75249307,13.84791447,16.83019913,4,1
973,25.48040648,31.91596905,17.65440353,19.43842853,16.79820135,5,1
3,54.131299,50.70706226,21.45529942,13.78473483,11.47056282,1,3
59,28.98586847,28.23941968,13.27813529,13.00904943,15.73472437,2,3
69,23.85977733,38.00494174,13.40955896,21.11283907,12.66162197,3,3
141,20.3953607,24.91903461,11.75249307,13.84791447,16.83019913,4,3
219,25.48040648,31.91596905,17.65440353,19.43842853,16.79820135,5,3